first_name,last_name,start_date,exit_date,job_title,supervisor,business_unit,employee_status,employee_type,termination_type,department_type,division,date_of_birth,state,gender_code,performance_score,current_employee_rating,employee_id,engagement_score,satisfaction_score,work_life_balance_score,training_date,training_program_name,training_type,training_outcome,trainer,training_duration_days,training_cost
Carsen,Schmidt,2020-10-25,2021-12-28,"Production Technician I","Kevin Davis",SVG,Active,Contract,Retirement,Production,"General - Con",1950-06-08,MA,Female,"Fully Meets",5,3100,1,5,2,2023-07-16,"Technical Skills",External,Incomplete,"Crystal Barnett",4,136.94
Carsen,Wheeler,2020-10-18,2023-03-22,"Production Technician I","Kimberly Soto",SVG,Active,Full-Time,Resignation,Production,"Wireline Construction",1976-07-02,MA,Male,"Fully Meets",2,3736,3,1,3,2022-10-25,"Project Management",Internal,Incomplete,"Brandy Drake",2,119.82
Carson,Pennington,2022-04-22,NULL,"Production Technician I","Andrea Riley",TNS,Active,Full-Time,Unk,Production,"Field Operations",1957-10-04,MA,Female,"Fully Meets",3,2039,5,2,2,2023-05-24,"Customer Service",External,Incomplete,"Laura Meadows",1,738.69
Carter,Cook,2018-09-08,2021-08-23,"Network Engineer","Michael Morton",TNS,Active,Contract,Voluntary,"Executive Office",Engineers,1967-02-18,MA,Male,"Fully Meets",3,3878,4,4,1,2022-12-28,"Customer Service",Internal,Passed,"Nancy Lewis",5,749.69
Case,Conley,2021-10-01,2023-06-21,"President & CEO","Ryan Thompson",PYZ,Active,Part-Time,Voluntary,"Executive Office","Yard (Material Handling)",1967-07-11,MA,Male,"Fully Meets",2,2476,3,5,5,2023-06-29,"Technical Skills",External,Completed,"Michele Johnson",3,350.21
Case,Gaines,2020-08-21,2022-09-20,"Production Technician I","Morgan Smith",SVG,Active,Full-Time,Resignation,Production,Fielders,1974-02-19,MA,Male,Exceeds,4,3708,5,5,2,2023-01-03,"Customer Service",External,Passed,"Jared Mcclain",4,136.15
Case,Hahn,2020-05-08,NULL,"Network Engineer","James Hernandez",BPC,Active,Part-Time,Unk,"Executive Office","Project Management - Con",1988-05-05,MA,Male,"Fully Meets",2,2307,5,2,3,2023-05-21,"Customer Service",Internal,Passed,"Cory Garcia",2,856.15
Case,Russell,2020-10-13,NULL,"Senior BI Developer","Taylor Wright",PL,Active,Full-Time,Unk,"Admin Offices",Underground,1979-02-16,MA,Female,"Fully Meets",3,1035,1,5,5,2023-03-11,"Communication Skills",Internal,Completed,"Joseph Mendoza",2,724.14
Casey,Bradford,2019-03-19,NULL,"BI Developer","Michael Johnson",CCDR,Active,Part-Time,Unk,IT/IS,"Wireline Construction",1953-10-04,MA,Male,"Fully Meets",2,2539,4,2,3,2022-11-10,"Communication Skills",Internal,Passed,"Kathy Jenkins",4,703.84
Casey,Dixon,2018-09-29,2023-05-20,"Production Technician II","Andrea Simmons",PL,Active,Contract,Resignation,Production,Aerial,1946-07-25,MA,Female,Exceeds,2,2141,2,3,3,2023-06-07,"Customer Service",Internal,Completed,"Louis Mccall",1,619.72
Cason,Neal,2018-09-20,2021-02-04,"Production Technician II","Savannah Schneider",MSC,"Voluntarily Terminated",Contract,Voluntary,Production,Catv,1989-11-28,MA,Female,PIP,4,3695,1,1,4,2023-01-08,"Project Management",External,Failed,"John Ward",4,492.2
Cason,Tyler,2020-10-26,NULL,"Production Technician II","Christine Oneill",NEL,Active,Full-Time,Unk,Production,"Field Operations",1955-08-13,MA,Female,"Fully Meets",3,1278,2,4,5,2023-02-04,"Technical Skills",Internal,Incomplete,"Donna Barr",1,331.46
Cassidy,Maddox,2023-07-16,2023-07-30,"Sr. DBA","Melissa Pineda",EW,"Leave of Absence",Full-Time,Resignation,IT/IS,Engineers,1977-02-07,MA,Female,"Fully Meets",3,3843,3,5,5,2023-08-04,"Technical Skills",External,Passed,"Rachel Brock",2,582.09
Cassie,Nolan,2023-02-28,NULL,"Production Technician I","Kathleen Boyle",EW,Active,Contract,Unk,Production,"Field Operations",1980-05-22,MA,Male,Exceeds,3,1866,3,5,2,2023-04-22,"Customer Service",External,Completed,"Zachary Chandler",3,587.63
Cassius,Gates,2022-11-23,NULL,"Production Technician I","Jody Cox",PYZ,Active,Part-Time,Unk,Production,Aerial,1995-03-30,MA,Male,Exceeds,4,3654,2,4,1,2023-04-11,"Project Management",Internal,Incomplete,"Lisa Solis",4,553.86
Catalina,Eaton,2020-03-02,NULL,"Production Technician I","Lindsey Martin",NEL,Active,Full-Time,Unk,Production,"Field Operations",1989-10-06,MA,Male,"Fully Meets",4,3037,3,4,2,2023-05-01,"Leadership Development",Internal,Failed,"Marc Burns",5,374.69
Catherine,Anthony,2021-01-25,NULL,"Production Technician I","Joshua Lee",CCDR,Active,Contract,Unk,Production,Engineers,1996-11-20,MA,Male,"Fully Meets",2,3276,2,2,4,2022-08-15,"Project Management",External,Completed,"Benjamin Pittman",3,826.54
Catherine,Ybarra,2019-03-11,2021-09-06,"Production Technician I","Amanda Perez",MSC,"Voluntarily Terminated",Full-Time,Retirement,Production,"General - Con",1981-04-02,MA,Female,Exceeds,3,1409,2,2,1,2022-08-23,"Customer Service",Internal,Passed,"David Rodriguez",4,938.59
Cayden,Bartlett,2020-07-01,NULL,"Production Technician I","Linda Mills",PYZ,Active,Contract,Unk,Production,"Project Management - Con",1990-06-27,MA,Male,Exceeds,2,2201,5,1,5,2023-03-15,"Leadership Development",Internal,Completed,"Nathan Williams",4,863.83
Cayden,Maynard,2021-11-17,NULL,"Production Technician I","Alexander Parker",CCDR,Active,Contract,Unk,Production,"Project Management - Con",1997-10-01,MA,Female,"Fully Meets",3,2009,5,2,2,2023-01-20,"Customer Service",Internal,Incomplete,"Gary Johnson",1,319.94
Caylee,Nunez,2020-08-26,2023-04-05,"Production Technician II","Kevin Mendez",EW,"Voluntarily Terminated",Contract,Voluntary,Production,Engineers,1983-08-27,MA,Female,"Fully Meets",3,1212,4,5,4,2023-05-03,"Project Management",Internal,Failed,"Kimberly May",5,817.92
Cayo,Gonzalez,2019-01-11,NULL,"Production Technician I","Matthew Allen",SVG,Active,Contract,Unk,Production,"General - Con",1955-12-21,MA,Male,Exceeds,3,1390,2,3,4,2023-03-03,"Communication Skills",External,Completed,"Anthony Burns",3,512.53
Cedric,Sawyer,2019-05-31,NULL,"IT Support","Megan Walker",MSC,Active,Contract,Unk,IT/IS,"Field Operations",1993-11-14,MA,Female,Exceeds,4,2221,1,5,1,2022-08-07,"Technical Skills",Internal,Incomplete,"Daniel Morris",1,737.04
Celeste,Allison,2023-08-01,2023-08-02,"Production Technician II","Erin Maxwell",PL,"Voluntarily Terminated",Full-Time,Involuntary,Production,"General - Con",1983-04-17,MA,Female,"Fully Meets",1,3161,1,5,4,2022-09-15,"Customer Service",External,Passed,"Elizabeth Miller",3,398.98
Celeste,Branch,2020-06-22,NULL,"Production Technician II","Timothy Clark",SVG,Active,Full-Time,Unk,Production,"Yard (Material Handling)",1962-03-04,MA,Male,"Needs Improvement",4,2907,1,4,5,2023-02-12,"Communication Skills",External,Completed,"Tiffany Cox",4,510.69
Celeste,Johnson,2022-07-10,NULL,"Production Technician I","Kristi Andrews",MSC,Active,Full-Time,Unk,Production,Engineers,1975-07-15,MA,Female,"Fully Meets",3,1112,4,1,1,2022-09-30,"Communication Skills",Internal,Failed,"Eric Davis",3,668.05
Celeste,Lin,2023-06-17,2023-07-27,"Production Technician I","Jeffery Williams",WBL,Active,Contract,Voluntary,Production,Engineers,1988-03-12,MA,Female,"Fully Meets",3,1291,5,4,5,2022-09-12,"Technical Skills",Internal,Passed,"Leslie Clark",3,913.62
Celia,Curtis,2020-05-06,NULL,"Area Sales Manager","Michael Odonnell",WBL,Active,Contract,Unk,Sales,Fielders,1987-05-14,KY,Female,Exceeds,1,3467,4,3,2,2023-02-24,"Technical Skills",Internal,Incomplete,"Regina Robinson",1,759.7
Celia,Mcpherson,2021-04-17,2022-03-18,"Production Technician II","Thomas Reed",PYZ,"Future Start",Contract,Retirement,Production,Wireless,1983-04-26,MA,Female,"Fully Meets",5,2888,5,2,5,2023-03-17,"Customer Service",External,Completed,"Matthew Cox",4,119.5
Cesar,Anderson,2022-11-16,NULL,"Production Technician II","Timothy Brown",CCDR,Active,Full-Time,Unk,Production,"Project Management - Con",1997-05-17,MA,Female,"Fully Meets",4,3136,5,3,5,2022-11-22,"Project Management",External,Failed,"Chelsea Stokes",2,386.95
Cesar,Higgins,2020-01-09,NULL,"Production Technician II","Timothy Curtis",MSC,Active,Part-Time,Unk,Production,"Technology / It",1996-02-04,MA,Female,"Fully Meets",4,3624,2,2,2,2023-04-05,"Communication Skills",External,Passed,"William Oconnor",5,962.13
Cesar,House,2023-03-11,2023-06-03,"Production Technician I","Todd Cooper",SVG,Active,Contract,Resignation,Production,"General - Con",1991-03-04,MA,Male,Exceeds,3,1564,4,1,4,2023-04-20,"Communication Skills",External,Completed,"Larry Johnson",4,430.3
Cesar,Hunter,2021-02-09,NULL,"Production Manager","Dustin Carroll",BPC,Active,Full-Time,Unk,Production,"General - Con",1988-10-24,MA,Male,"Fully Meets",5,2470,5,5,2,2023-04-05,"Communication Skills",Internal,Completed,"David Miller MD",2,999
Chace,Church,2020-11-23,NULL,"Production Technician I","David Valenzuela",TNS,Active,Part-Time,Unk,Production,"Finance & Accounting",1993-01-03,MA,Male,"Needs Improvement",1,3691,1,1,5,2023-03-06,"Leadership Development",Internal,Completed,"Eric Snyder",3,311.28
Chace,Farley,2021-09-10,NULL,"Production Technician I","Jackie Tran",CCDR,Active,Contract,Unk,Production,Catv,1979-02-12,MA,Female,Exceeds,2,2123,3,5,3,2022-09-23,"Project Management",External,Failed,"Emily Hernandez",4,169.71
Chace,Gray,2019-05-29,NULL,"Production Technician I","Joel Nichols",PYZ,Active,Contract,Unk,Production,Wireless,1963-07-11,MA,Male,"Fully Meets",1,3735,4,4,4,2022-10-25,"Technical Skills",External,Failed,"Christopher Jackson",1,473.1
Chace,Kerr,2022-04-27,NULL,"Production Technician I","Javier Mccall",BPC,Active,Full-Time,Unk,Production,"Field Operations",1990-09-11,MA,Female,"Fully Meets",2,3426,1,3,2,2023-05-02,"Leadership Development",Internal,Failed,"Joel Brooks",5,675.37
Chaim,Chase,2022-07-31,2023-02-18,"Production Technician II","David Goodman",SVG,"Voluntarily Terminated",Full-Time,Voluntary,Production,"General - Con",1993-06-27,MA,Female,"Fully Meets",1,3716,5,3,3,2023-03-07,"Project Management",Internal,Incomplete,"Christopher Carroll",4,959.78
Chaim,Mata,2023-06-29,NULL,"Area Sales Manager","Desiree Vang",EW,Active,Part-Time,Unk,Sales,"Shop (Fleet)",1950-10-01,CO,Male,Exceeds,2,3473,3,4,4,2022-12-06,"Communication Skills",External,Failed,"Frank Harris",5,789.99
Chaim,Patrick,2020-12-08,2021-09-07,"Production Technician I","Jackie Poole",SVG,Active,Contract,Voluntary,Production,"Wireline Construction",1990-04-15,MA,Male,"Needs Improvement",3,1521,4,1,3,2023-06-02,"Project Management",Internal,Passed,"Richard Warner",1,877.41
Chana,Fox,2020-04-29,2021-07-10,"Production Manager","Desiree Blair",SVG,"Voluntarily Terminated",Part-Time,Retirement,Production,Aerial,1986-02-10,MA,Female,"Fully Meets",4,2449,4,5,3,2023-01-18,"Project Management",External,Passed,"Natalie Spears",4,485.29
Chance,Blackwell,2021-05-26,NULL,"Production Technician I","James Ashley",CCDR,Active,Contract,Unk,Production,"General - Sga",1963-08-13,MA,Female,"Fully Meets",3,1794,4,4,2,2022-10-31,"Leadership Development",Internal,Completed,"Susan Murphy",3,208.13
Chance,Braun,2023-06-17,2023-07-19,"BI Developer","Jessica Peters",CCDR,"Terminated for Cause",Full-Time,Voluntary,IT/IS,Executive,1986-10-24,MA,Female,"Fully Meets",3,1631,2,4,1,2023-01-14,"Customer Service",External,Incomplete,"Marissa Mcintyre",1,464.49
Chance,Warner,2021-09-28,2022-10-09,"Production Technician I","Julie Porter",BPC,Active,Part-Time,Resignation,Production,Fielders,1951-04-08,MA,Female,"Fully Meets",3,1572,2,4,3,2022-10-08,"Customer Service",Internal,Completed,"Douglas Greer",2,738.65
Chandler,Reynolds,2021-05-05,NULL,"IT Manager - DB","Lauren Baker",PL,Active,Full-Time,Unk,IT/IS,"Field Operations",1966-06-13,MA,Male,"Fully Meets",1,2533,1,1,3,2023-07-22,"Communication Skills",External,Completed,"Eduardo Foster",1,226.93
Chanel,Dougherty,2021-03-04,NULL,"Production Technician I","Jennifer Dillon",PYZ,Active,Full-Time,Unk,Production,"Billable Consultants",1989-03-08,MA,Female,Exceeds,3,1466,1,4,5,2022-12-16,"Project Management",External,Completed,"Valerie Collins",3,746.05
Charity,Miranda,2021-06-29,2022-07-05,"Area Sales Manager","Daniel Rodriguez",WBL,Active,Full-Time,Resignation,Sales,"Project Management - Eng",1999-01-18,KY,Male,Exceeds,4,3455,2,1,1,2023-03-17,"Project Management",External,Passed,"Timothy Moreno",1,220.41
Charlee,Calhoun,2021-05-14,NULL,"Sales Manager","Karen Cordova",MSC,Active,Part-Time,Unk,Sales,Aerial,1977-08-19,MA,Male,"Fully Meets",3,1648,4,4,5,2023-01-11,"Project Management",External,Passed,"Kevin Palmer",1,699.81
Charlee,Navarro,2022-01-07,2022-06-29,"Data Analyst","Elizabeth Houston",PYZ,Active,Part-Time,Retirement,IT/IS,"Wireline Construction",1971-09-02,MA,Female,"Fully Meets",2,2354,5,1,1,2023-06-13,"Communication Skills",External,Completed,"Shannon White",5,572.14
Charlee,Roth,2023-02-04,NULL,"Production Technician I","Erin Harris",MSC,Active,Part-Time,Unk,Production,Splicing,1944-05-05,MA,Male,"Fully Meets",3,3618,3,4,5,2022-12-26,"Leadership Development",External,Passed,"Laura Carpenter",3,609.3
Charlee,Wiggins,2020-06-14,2023-07-18,"Production Technician I","Elizabeth Allen",WBL,Active,Full-Time,Retirement,Production,Engineers,1981-08-15,MA,Male,Exceeds,3,1592,1,1,4,2023-06-20,"Communication Skills",Internal,Incomplete,"Donald Rogers",1,590.82
Charles,Bozzi,2019-04-25,NULL,"Production Manager","Richard Jackson",PL,Active,Part-Time,Unk,Production,Fielders,1967-07-28,MA,Male,"Fully Meets",4,2282,1,5,3,2022-10-20,"Leadership Development",External,Incomplete,"Michael Smith",5,454.55
Charles,Coleman,2021-12-07,NULL,"Area Sales Manager","Thomas Roberts",BPC,Active,Part-Time,Unk,Sales,"Sales & Marketing",1991-11-19,TN,Male,"Fully Meets",2,2628,5,4,2,2022-09-05,"Technical Skills",Internal,Passed,"Sandra Herman",1,896.12
Charles,Howard,2023-06-11,2023-07-28,"Area Sales Manager","Janet Andrews",SVG,Active,Part-Time,Retirement,Sales,"Wireline Construction",1984-07-22,AL,Male,"Fully Meets",2,2624,1,4,3,2022-11-04,"Customer Service",Internal,Incomplete,"Laura Baker",2,227.91
Charlie,Atkinson,2021-11-26,2022-10-14,"Area Sales Manager","Jennifer Hicks",SVG,"Future Start",Part-Time,Resignation,Sales,"Wireline Construction",1988-03-26,TX,Male,"Fully Meets",1,3550,3,5,4,2023-04-09,"Project Management",Internal,Completed,"Lisa Gibbs",4,363.11
Charlie,Brady,2019-01-27,NULL,"Software Engineer","Sandra Rodriguez",SVG,Active,Part-Time,Unk,"Software Engineering","Wireline Construction",1999-06-06,MA,Male,"Fully Meets",2,2502,3,3,5,2022-08-08,"Technical Skills",Internal,Passed,"Ivan Garcia",3,971.57
Charlie,Carson,2021-02-23,2022-07-13,"Production Technician I","Samantha Gilbert",BPC,"Leave of Absence",Full-Time,Voluntary,Production,"General - Sga",1989-08-20,MA,Male,"Fully Meets",3,3254,2,4,1,2023-05-09,"Leadership Development",External,Failed,"Richard Martin",2,823.95
Charlie,Koch,2023-06-12,2023-07-06,"Area Sales Manager","Samantha Cardenas",PYZ,Active,Part-Time,Voluntary,Sales,Fielders,1945-06-20,MA,Male,"Needs Improvement",2,3476,5,5,3,2022-11-18,"Leadership Development",Internal,Incomplete,"Dr. Margaret Allen",4,533.5
Charlie,Ramirez,2023-06-09,NULL,"Production Technician I","Laura Meadows",BPC,Active,Part-Time,Unk,Production,"General - Eng",1969-09-11,MA,Female,Exceeds,3,1595,3,4,3,2023-05-07,"Leadership Development",External,Passed,"Pamela Hernandez",4,571.48
Charlie,Wang,2023-05-12,2023-05-16,"Senior BI Developer","Maria Rivera",WBL,Active,Full-Time,Resignation,IT/IS,"Field Operations",1996-10-22,MA,Male,"Needs Improvement",3,1624,5,1,3,2023-04-21,"Customer Service",Internal,Failed,"Brittney Chapman",1,953.68
Charlize,Ballard,2021-12-31,NULL,"Area Sales Manager","Kimberly Soto",PL,Active,Contract,Unk,Sales,"General - Con",1952-10-14,WA,Female,"Fully Meets",4,2683,3,4,2,2022-08-26,"Technical Skills",External,Passed,"Dawn Moon",2,412.34
Charlize,Rocha,2018-09-14,2019-01-04,"Production Technician II","James Chapman",MSC,"Voluntarily Terminated",Part-Time,Involuntary,Production,"People Services",1943-01-04,MA,Female,"Needs Improvement",4,2950,3,3,5,2023-03-19,"Technical Skills",Internal,Completed,"Danny Clark",2,331.52
Charlize,Wagner,2021-03-10,NULL,"Sr. DBA","Joseph Patton",MSC,Active,Contract,Unk,IT/IS,Aerial,1990-11-18,MA,Female,"Fully Meets",3,3962,4,3,3,2022-11-04,"Customer Service",Internal,Failed,"Rebecca Stone",3,454.92
Charlize,Wong,2021-08-14,2021-10-08,"Production Technician I","Ryan Armstrong",SVG,"Voluntarily Terminated",Contract,Retirement,Production,Engineers,1987-10-04,MA,Female,Exceeds,3,2173,1,4,3,2023-04-18,"Technical Skills",External,Completed,"Alexander Harris",5,372.55
Chase,Horn,2018-11-09,NULL,"Production Technician I","Richard Davis II",MSC,Active,Full-Time,Unk,Production,"General - Sga",1967-05-27,MA,Female,"Fully Meets",3,1987,5,1,3,2023-06-27,"Communication Skills",Internal,Failed,"Jamie Mays",2,844.93
Chase,Lloyd,2019-05-24,2021-10-09,"Production Technician II","Cindy Smith",NEL,"Voluntarily Terminated",Part-Time,Resignation,Production,Isp,1968-08-08,MA,Female,"Fully Meets",3,1297,2,4,4,2023-06-14,"Project Management",External,Passed,"Penny Lopez",3,352.75
Chasity,Kennedy,2021-03-08,2022-10-07,"Production Technician I","Steven Logan",MSC,Active,Part-Time,Involuntary,Production,"Technology / It",1969-06-20,MA,Female,PIP,1,2126,3,4,4,2023-01-24,"Communication Skills",External,Failed,"Nina Ramos",2,692.5
Chaya,Boyd,2018-11-22,2020-07-19,"Production Technician I","Sean Ellis",SVG,"Voluntarily Terminated",Full-Time,Resignation,Production,"Field Operations",1958-07-04,MA,Male,"Fully Meets",3,1158,2,4,4,2022-09-14,"Customer Service",External,Completed,"Grant Rodriguez",3,154.71
Chaz,Bruce,2019-12-08,NULL,"Area Sales Manager","John Johnson",BPC,Active,Full-Time,Unk,Sales,"General - Con",1983-11-27,CO,Male,"Fully Meets",5,3539,3,3,4,2023-03-17,"Project Management",External,Failed,"Justin Adams",4,234.77
Chaz,Webb,2018-09-08,NULL,"Software Engineer","Alec Hernandez",PYZ,Active,Contract,Unk,"Software Engineering","Field Operations",1995-11-24,MA,Female,"Fully Meets",3,1055,3,4,1,2022-11-15,"Customer Service",Internal,Passed,"Anna Petty",2,125.7
Cherish,Preston,2019-12-08,NULL,"Production Technician I","Chase Hardy",EW,Active,Contract,Unk,Production,"General - Eng",1985-01-28,MA,Female,"Fully Meets",3,1284,5,1,5,2022-11-10,"Communication Skills",External,Completed,"Richard Rogers",1,852.87
Cherly,Robinson,2023-02-13,NULL,"Production Technician I","Summer Figueroa",TNS,Active,Full-Time,Unk,Production,"General - Con",1948-04-03,MA,Female,"Fully Meets",1,2972,3,4,3,2023-03-01,"Leadership Development",Internal,Passed,"Jasmine George",1,788.69
Cheyanne,Hess,2021-05-02,2023-06-27,"Production Technician I","Charles Williams",PYZ,"Voluntarily Terminated",Full-Time,Involuntary,Production,"Project Management - Con",1997-03-26,MA,Female,Exceeds,5,2149,5,3,5,2023-05-08,"Technical Skills",Internal,Failed,"Joseph Taylor",2,747.63
Cheyanne,Munoz,2019-12-03,NULL,"Production Technician I","Jessica Brown",WBL,Active,Full-Time,Unk,Production,Splicing,1950-10-15,MA,Male,"Needs Improvement",2,2913,4,1,2,2022-12-01,"Communication Skills",External,Completed,"Jennifer Bray",3,989.75
Cheyenne,Herman,2022-01-08,2022-09-03,"Area Sales Manager","Kathleen Hickman",PL,Active,Contract,Retirement,Sales,"Field Operations",1994-08-13,NC,Female,"Fully Meets",4,2720,3,3,2,2023-05-09,"Customer Service",External,Failed,"Michael Bailey",2,960.4
Chloe,Gould,2023-07-18,NULL,"Area Sales Manager","Lisa Thompson",TNS,Active,Part-Time,Unk,IT/IS,"Wireline Construction",1942-09-01,MA,Male,"Fully Meets",3,1655,3,1,2,2023-06-15,"Communication Skills",Internal,Completed,"Candice Williams",5,780.94
Chris,Johnson,2020-03-02,2020-05-25,"Production Technician I","Jennifer Mendez",CCDR,"Future Start",Contract,Voluntary,Production,"General - Sga",1958-08-15,MA,Female,Exceeds,3,1596,4,4,1,2023-02-03,"Project Management",Internal,Incomplete,"Misty Burns",4,683.34
Chris,Vincent,2019-12-19,2023-03-31,"Network Engineer","Ethan Allison",PYZ,Active,Part-Time,Retirement,IT/IS,"General - Con",1993-04-11,MA,Female,Exceeds,3,3917,3,1,4,2023-03-28,"Project Management",Internal,Failed,"Brandi Clark",3,328.89
Christina,Terry,2020-10-28,2022-02-27,"Software Engineering Manager","Christopher Jones",WBL,"Future Start",Full-Time,Involuntary,"Software Engineering","Field Operations",1959-05-07,MA,Female,"Fully Meets",3,1354,4,4,2,2023-08-03,"Communication Skills",External,Failed,"Amanda Brooks",2,983.37
Christine,Giles,2022-11-17,NULL,"Area Sales Manager","Heather Wright",TNS,Active,Contract,Unk,Sales,"General - Con",1951-10-20,ID,Male,"Fully Meets",5,2679,4,4,1,2022-08-17,"Communication Skills",External,Completed,"Amanda Decker",2,119.62
Christine,Skinner,2022-02-10,2022-06-08,"Database Administrator","Thomas Ramirez",EW,Active,Contract,Retirement,IT/IS,"Wireline Construction",1963-07-23,TX,Female,"Fully Meets",3,3984,5,5,4,2022-08-07,"Communication Skills",Internal,Incomplete,"Audrey Gray",1,202.91
Ciara,Acevedo,2021-01-29,NULL,"Database Administrator","Joel Hodge II",SVG,Active,Part-Time,Unk,IT/IS,"General - Con",1958-10-31,TX,Female,"Fully Meets",3,3971,3,3,2,2022-08-16,"Project Management",External,Passed,"Derek Walker",5,482.47
Ciara,Cole,2021-11-14,2022-07-01,"Production Technician I","Lisa Campbell",CCDR,"Voluntarily Terminated",Full-Time,Involuntary,Production,"Project Management - Con",1971-04-04,MA,Male,"Fully Meets",3,1266,1,3,1,2023-03-30,"Project Management",Internal,Incomplete,"Melissa Brown",5,465.72
Cindy,York,2022-01-28,NULL,"Production Technician I","Mary Conley",PYZ,Active,Part-Time,Unk,Production,"Project Management - Con",1960-05-28,MA,Female,PIP,3,1849,2,4,4,2023-06-04,"Leadership Development",External,Passed,"Brian Lee",4,332.12
Claire,Gordon,2018-09-04,2022-12-16,"BI Director","Jennifer Hernandez",SVG,"Terminated for Cause",Contract,Voluntary,IT/IS,Isp,1981-11-13,MA,Female,"Fully Meets",3,1695,3,3,3,2023-01-03,"Leadership Development",Internal,Passed,"Brittany Fuller",2,913.34
Clara,Stewart,2022-06-20,2023-03-23,"Area Sales Manager","Monica Sims",NEL,Active,Contract,Voluntary,Sales,"Finance & Accounting",1996-02-11,AZ,Male,"Fully Meets",4,2719,5,5,5,2023-07-25,"Leadership Development",Internal,Passed,"Mrs. Stacey Martinez",5,992.93
Clara,Wheeler,2020-10-13,2022-11-09,"Production Technician I","Jennifer Harrington",NEL,Active,Full-Time,Voluntary,Production,"General - Con",1987-09-18,MA,Female,"Fully Meets",3,1797,3,3,5,2022-12-24,"Project Management",External,Failed,"Kathy Myers DDS",5,581.43
Clare,English,2019-11-29,2022-08-18,"IT Support","Randall Keller",PL,Active,Full-Time,Voluntary,IT/IS,Fielders,1992-04-20,MA,Female,PIP,3,3859,1,2,5,2023-06-05,"Communication Skills",External,Completed,"Colleen Miller",1,838.69
Clarissa,Winters,2019-08-01,2023-01-20,"Production Technician I","Eric Gonzales",SVG,"Voluntarily Terminated",Part-Time,Involuntary,Production,"Billable Consultants",1965-03-13,MA,Male,"Fully Meets",3,3606,3,5,1,2022-10-31,"Project Management",Internal,Passed,"Elizabeth Powell",2,255.6
Clark,Blanchard,2023-02-27,2023-03-28,"Production Technician II","Brittany Marshall",TNS,"Voluntarily Terminated",Full-Time,Voluntary,Production,"Field Operations",1948-09-14,MA,Female,"Fully Meets",1,3741,2,5,4,2022-10-05,"Project Management",External,Completed,"Renee Williams",2,751.04
Claudia,Melton,2023-06-02,2023-07-09,"Production Technician II","Anna Davidson",TNS,"Voluntarily Terminated",Part-Time,Resignation,Production,"Wireline Construction",1983-06-05,MA,Female,Exceeds,4,3046,2,5,3,2023-01-14,"Communication Skills",Internal,Passed,"Stephanie Black",2,767.56
"Claudia N",Carr,2022-09-20,2023-07-04,"Sr. DBA","Natasha Walton",SVG,"Future Start",Full-Time,Voluntary,IT/IS,"General - Con",1991-03-17,MA,Female,"Fully Meets",3,3949,5,2,5,2023-06-03,"Communication Skills",Internal,Incomplete,"Megan Chan",2,843.66
Clay,Compton,2022-07-15,NULL,"Area Sales Manager","Kevin Parrish",BPC,Active,Part-Time,Unk,Sales,Fielders,1968-12-16,AZ,Male,"Fully Meets",1,2674,1,1,4,2023-04-05,"Customer Service",External,Incomplete,"Joshua Deleon",5,283.65
Clayton,Mccormick,2022-07-03,2023-01-10,"Area Sales Manager","Stephanie Duke",MSC,"Future Start",Contract,Retirement,Sales,"General - Con",1967-01-29,TX,Male,"Fully Meets",2,3525,1,2,1,2022-10-09,"Leadership Development",External,Incomplete,"Tara Christensen",4,237.75
Clayton,Walker,2022-04-13,2023-04-10,"Area Sales Manager","Jon Holden",PYZ,Active,Part-Time,Retirement,IT/IS,Aerial,1979-01-26,KY,Male,Exceeds,4,3466,1,3,4,2022-12-07,"Customer Service",External,Passed,"Erika Jackson",3,447.66
Clinton,Brennan,2020-08-22,2023-03-09,"President & CEO","Kristi Lee",PYZ,Active,Full-Time,Resignation,Production,"Wireline Construction",1950-03-31,MA,Female,"Fully Meets",1,2368,5,2,1,2023-03-30,"Technical Skills",External,Completed,"Pamela Richards",4,285.54
Clinton,Owad,2019-05-04,NULL,"Production Technician I","Elizabeth Sullivan MD",WBL,Active,Full-Time,Unk,Production,"Field Operations",1957-05-30,MA,Male,Exceeds,2,3578,1,4,2,2022-12-01,"Project Management",External,Completed,"Nathan Jones",5,115.06
Cloe,Mcgrath,2022-03-14,NULL,"Sr. Network Engineer","Tracey Clark",WBL,Active,Part-Time,Unk,IT/IS,"Field Operations",1978-04-15,MA,Male,"Fully Meets",3,1333,3,4,5,2023-03-01,"Customer Service",Internal,Passed,"Tyler Sanchez",2,605.12
Coby,Giles,2023-05-04,2023-07-02,"Software Engineer","Edwin Chen",NEL,Active,Full-Time,Voluntary,"Software Engineering","General - Con",1988-05-12,MA,Female,"Fully Meets",1,2551,4,2,2,2023-08-02,"Communication Skills",Internal,Completed,"Hannah Berry",2,985
Cody,Bates,2021-02-02,NULL,"Area Sales Manager","Brittney Young",TNS,Active,Contract,Unk,Sales,"General - Con",1945-09-12,ID,Male,"Fully Meets",2,2662,4,1,1,2023-03-10,"Project Management",External,Completed,"Dustin Phillips",5,406.1
Cody,Beard,2022-08-15,2022-08-20,"Production Technician I","Crystal Smith",BPC,Active,Full-Time,Retirement,Production,Engineers,1944-03-24,MA,Female,Exceeds,3,1498,1,5,3,2023-08-05,"Project Management",Internal,Passed,"John Garza",3,598.07
